SCHOOL_TYPE,SPORT_CODE,NCAA_DIVISION,NCAA_SUBDIVISION,NCAA_CONFERENCE,FOURYEAR_ELIGIBILITY,FOURYEAR_RETENTION
0.0,15.0,1.0,3.0,Big West Conference,0.9535,0.9628
0.0,16.0,1.0,3.0,Big West Conference,0.9669,0.9771
0.0,17.0,1.0,3.0,Big West Conference,0.9402,0.9602
0.0,19.0,1.0,3.0,Big West Conference,1.0,0.9752
0.0,21.0,1.0,3.0,Big West Conference,0.9774,0.9849
0.0,31.0,1.0,3.0,Big West Conference,0.9884,0.9953
0.0,29.0,1.0,3.0,Big West Conference,0.9914,0.9649
0.0,32.0,1.0,3.0,Big West Conference,0.9918,0.9834
0.0,33.0,1.0,3.0,Big West Conference,1.0,1.0
0.0,34.0,1.0,3.0,Big West Conference,0.9497,0.9845
0.0,35.0,1.0,3.0,Big West Conference,0.9512,0.985
0.0,36.0,1.0,3.0,Big West Conference,0.9941,0.9643
0.0,37.0,1.0,3.0,Big West Conference,0.9398,0.98
1.0,1.0,1.0,3.0,West Coast Conference,0.9783,0.9337
1.0,2.0,1.0,3.0,West Coast Conference,0.9899,0.9271
1.0,3.0,1.0,3.0,West Coast Conference,1.0,0.9884
1.0,6.0,1.0,3.0,West Coast Conference,0.9828,0.9474
1.0,11.0,1.0,3.0,West Coast Conference,0.9794,0.9689
1.0,13.0,1.0,3.0,West Coast Conference,1.0,0.9857
1.0,15.0,1.0,3.0,West Coast Conference,1.0,0.9884
1.0,17.0,1.0,3.0,West Coast Conference,1.0,0.9559
1.0,19.0,1.0,3.0,West Coast Conference,0.9633,0.9439
1.0,21.0,1.0,3.0,West Coast Conference,0.9909,0.9818
1.0,22.0,1.0,3.0,West Coast Conference,0.9882,0.9643
1.0,31.0,1.0,3.0,West Coast Conference,1.0,0.9805
1.0,29.0,1.0,3.0,West Coast Conference,0.9932,0.9728
1.0,32.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,33.0,1.0,3.0,West Coast Conference,1.0,0.9677
1.0,35.0,1.0,3.0,West Coast Conference,0.9909,0.9818
1.0,36.0,1.0,3.0,West Coast Conference,0.956,0.9546
1.0,37.0,1.0,3.0,West Coast Conference,1.0,0.9813
1.0,1.0,1.0,3.0,West Coast Conference,0.9848,0.9479
1.0,2.0,1.0,3.0,West Coast Conference,0.9808,0.932
1.0,6.0,1.0,3.0,West Coast Conference,0.9571,0.9118
1.0,12.0,1.0,3.0,West Coast Conference,0.9508,0.956
1.0,13.0,1.0,3.0,West Coast Conference,1.0,0.9722
1.0,17.0,1.0,3.0,West Coast Conference,0.9873,0.962
1.0,19.0,1.0,3.0,West Coast Conference,0.9913,0.9554
1.0,21.0,1.0,3.0,West Coast Conference,1.0,0.963
1.0,24.0,1.0,3.0,West Coast Conference,0.9742,0.9737
1.0,31.0,1.0,3.0,West Coast Conference,0.9873,0.9618
1.0,29.0,1.0,3.0,West Coast Conference,1.0,0.9916
1.0,32.0,1.0,3.0,West Coast Conference,0.9771,0.977
1.0,33.0,1.0,3.0,West Coast Conference,0.9828,0.9649
1.0,35.0,1.0,3.0,West Coast Conference,1.0,0.9744
1.0,36.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,37.0,1.0,3.0,West Coast Conference,1.0,0.9594
1.0,1.0,1.0,3.0,West Coast Conference,0.9925,0.9512
1.0,2.0,1.0,3.0,West Coast Conference,0.9703,0.9278
1.0,3.0,1.0,3.0,West Coast Conference,1.0,0.9333
1.0,6.0,1.0,3.0,West Coast Conference,0.9855,0.9412
1.0,13.0,1.0,3.0,West Coast Conference,1.0,0.9365
1.0,15.0,1.0,3.0,West Coast Conference,1.0,0.9231
1.0,16.0,1.0,3.0,West Coast Conference,1.0,0.9565
1.0,17.0,1.0,3.0,West Coast Conference,0.9388,0.9796
1.0,19.0,1.0,3.0,West Coast Conference,0.9823,0.9727
1.0,21.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,25.0,1.0,3.0,West Coast Conference,0.9804,0.9804
1.0,31.0,1.0,3.0,West Coast Conference,0.9866,0.9796
1.0,32.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,33.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,35.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,36.0,1.0,3.0,West Coast Conference,0.9896,0.9894
0.0,1.0,1.0,1.0,Mountain West Conference,0.9847,0.9575
0.0,4.0,1.0,1.0,Mountain West Conference,0.9444,0.9637
0.0,2.0,1.0,1.0,Mountain West Conference,0.94,0.93
0.0,6.0,1.0,1.0,Mountain West Conference,0.961,0.9452
0.0,11.0,1.0,1.0,Mountain West Conference,0.9846,0.9529
